ag_id,ag_name,citycode,feed_id,label,feed_name,relatedLink,official,feed_note,prefcode,prefname,catalog_name,feed_publisher,feed_service_begin_date,available_data,feed_page_url,license_name,license_url,feed_service_end_date,feed_LastUpdate,feed_start_date,feed_end_date,ver_status,feed_version_note,rt_id,rt_label,rt_catalog_name,rt_catalog_url,rt_status
a01001,道南バス株式会社,,f0100101,道南バス （Code for Muroran/室蘭市OD）,道南バスGTFS,https://www.donanbus.co.jp/,1,・むろらんオープンデータライブラリからのリンクあり;・室蘭市内，近郊路線のみ,01,北海道,CodeforMuroran（aruneko）（Github）,Code for Muroran,20170510,1,https://github.com/aruneko/DonanbusGTFS/releases/,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.ja,20210401,20200402,20200401,20210401,1,2020/4/1改正,,,,,
a01001,道南バス株式会社,,f0100103,道南バス,GTFS-JP 道南バス,https://www.donanbus.co.jp/,1,,01,北海道,オープンデータ(GTFS-JP)の公開について（道南バス）,道南バス株式会社,20200925,1,https://www.donanbus.co.jp/topics/2021-4-1%e6%94%b9%e6%ad%a3-gtfs-jp%e3%83%87%e3%83%bc%e3%82%bf%e5%85%ac%e9%96%8b/,(オープンデータとして公開),,,20210331,20210401,20211130,1,2021/4/1改正,,,,,
a01001,道南バス株式会社,,f0105101,［HODaP］ 高速バス（北海道内）,高速バス,http://www.hokkaido-bus-kyokai.jp/routebus/toshikan.html,1,,01,北海道,北海道オープンデータ・プラットフォーム（HODaP）,ジョルダン株式会社,20200319,1,https://ckan.hoda.jp/dataset/gtfs-data/resource/ccfd2358-c804-4cfe-b4fe-278c3f035c64,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,,20210430,20210401,20210930,1,2021/4/1～,,,,,
a01002,北海道拓殖バス株式会社,,f0100201,北海道拓殖バス　一般路線、コミュニティバス（音更町・新得町・清水町）,北海道拓殖バス 一般路線バス・各町コミュニティバス,https://www.takubus.com/,1,・音更町コミュニティバスは「すずらん号」の時刻データのみ;・HODaPにリンク掲載あり（2020/3/24～）,01,北海道,北海道拓殖バス　オープンデータ,北海道拓殖バス株式会社,20190227,1,https://www.takubus.com/%E3%82%AA%E3%83%BC%E3%83%97%E3%83%B3%E3%83%87%E3%83%BC%E3%82%BF/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,,20210302,20210302,20220301,1,2020/10/1改正（春休みダイヤ反映）,r0048,北海道拓殖バス,北海道拓殖バス オープンデータ（GTFS）,https://www.takubus.com/%E3%82%AA%E3%83%BC%E3%83%97%E3%83%B3%E3%83%87%E3%83%BC%E3%82%BF/,1
a01002,北海道拓殖バス株式会社,,f0100202,北海道拓殖バス 都市間高速バス・帯広空港連絡バス,北海道拓殖バス 都市間高速バス・帯広空港連絡バス（市内ホテル周り線）,https://www.takubus.com/,1,,01,北海道,北海道拓殖バス　オープンデータ,北海道拓殖バス株式会社,20191112,1,https://www.takubus.com/%E3%82%AA%E3%83%BC%E3%83%97%E3%83%B3%E3%83%87%E3%83%BC%E3%82%BF/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,,20210428,20210428,20220427,1,2021/3/28改正(4/28～),,,,,
a01003,十勝バス株式会社,,f0100301,十勝バス　一般路線、コミュニティバス（帯広市・音更町・幕別町）,一般路線バス,https://www.tokachibus.jp/,1,・ライセンス明記なし（オープンデータとして公開）;・音更町コミュニティバスは「しらかば号」の時刻データのみ,01,北海道,十勝バス　オープンデータ,十勝バス株式会社,20190401,1,https://www.tokachibus.jp/rosenbus/opendata/,(オープンデータとして公開),,,20201215,20201210,20211209,1,2020/12/10改正,,,,,
a01003,十勝バス株式会社,,f0100302,［HODaP］ 十勝バス,十勝バス,https://www.tokachibus.jp/,1,自社サイト公開版あり,01,北海道,北海道オープンデータ・プラットフォーム（HODaP）,ジョルダン株式会社,20200220,1,https://ckan.hoda.jp/dataset/gtfs-data/resource/9ad9de7f-73a9-4695-858f-c09cdf13437a,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,,20210430,20210401,20210930,1,2021/4/1～,,,,,
a01004,網走バス株式会社,,f0100401,網走バス　観光施設めぐり,網走バスGTFS-JPデータ 観光施設めぐり,https://www.abashiribus.com/regular-sightseeing-bus/,1,,01,北海道,網走バス オープンデータ,網走バス株式会社,20190924,1,https://www.abashiribus.com/news/?page_id=563,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,,20210331,20210401,20210531,1,2021/4/1改正（～5/31）,,,,,
a01004,網走バス株式会社,,f0100402,網走バス　郊外線・市内線,網走バスGTFS-JPデータ 郊外線・市内線,https://www.abashiribus.com/local-bus/,1,,01,北海道,網走バス オープンデータ,網走バス株式会社,20200129,1,https://www.abashiribus.com/news/?page_id=563,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,,20200703,20200329,20210331,1,2020/3/29改正,,,,,
a01004,網走バス株式会社,,f0100403,［HODaP］ 網走バス,網走バス,https://www.abashiribus.com/,1,自社製データあり,01,北海道,北海道オープンデータ・プラットフォーム（HODaP）,ジョルダン株式会社,20200220,1,https://ckan.hoda.jp/dataset/gtfs-data/resource/c84abf64-f7ba-4d22-8cc1-acac7adbdc6f,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,,20210430,20210401,20210930,1,2021/4/1～,,,,,
