ag_id,ag_name,citycode,feed_id,label,feed_name,relatedLink,official,feed_note,prefcode,prefname,catalog_name,feed_publisher,feed_service_begin_date,available_data,feed_page_url,license_name,license_url,feed_service_end_date,feed_LastUpdate,feed_start_date,feed_end_date,ver_status,feed_version_note,rt_id,rt_label,rt_catalog_name,rt_catalog_url,rt_status
a01002,北海道拓殖バス株式会社,,f0100201,北海道拓殖バス　一般路線、コミュニティバス（音更町・新得町・清水町）,北海道拓殖バス 一般路線バス・各町コミュニティバス,https://www.takubus.com/,1,・音更町コミュニティバスは「すずらん号」の時刻データのみ;・HODaPにリンク掲載あり（2020/3/24～）,01,北海道,北海道拓殖バス　オープンデータ,北海道拓殖バス株式会社,20190227,1,https://www.takubus.com/%E3%82%AA%E3%83%BC%E3%83%97%E3%83%B3%E3%83%87%E3%83%BC%E3%82%BF/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,,20210302,20210302,20220301,1,2020/10/1改正（春休みダイヤ反映）,r0048,北海道拓殖バス,北海道拓殖バス オープンデータ（GTFS）,https://www.takubus.com/%E3%82%AA%E3%83%BC%E3%83%97%E3%83%B3%E3%83%87%E3%83%BC%E3%82%BF/,1
a10001,永井運輸株式会社,,f1000102,永井バス（永井運輸）（補助路線）,永井バス 新町玉村線・下川団地線・東大室線・荻窪公園線・嶺公園線・マイバス西循環線・マイバス東循環線,https://www.nagai-unyu.net/,1,・前橋市マイバス西循環線，東循環線を含む;・群馬県オープンデータサイトにリンク掲載あり,10,群馬県,永井バス オープンデータサイト,永井運輸株式会社,20180420,1,https://www.nagai-unyu.net/open-data/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,,20210305,20210401,20220331,1,2021/4/1改正,r0007,永井バス,永井バス オープンデータサイト,https://www.nagai-unyu.net/open-data/,1
a10001,永井運輸株式会社,,f1000102,永井バス（永井運輸）（補助路線）,永井バス 新町玉村線・下川団地線・東大室線・荻窪公園線・嶺公園線・マイバス西循環線・マイバス東循環線,https://www.nagai-unyu.net/,1,・前橋市マイバス西循環線，東循環線を含む;・群馬県オープンデータサイトにリンク掲載あり,10,群馬県,永井バス オープンデータサイト,永井運輸株式会社,20180420,1,https://www.nagai-unyu.net/open-data/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,,20210407,20210407,20220406,1,2021/4/1改正（業務用独自拡張版）,r0007,永井バス,永井バス オープンデータサイト,https://www.nagai-unyu.net/open-data/,1
a10002,日本中央バス株式会社,,f1000202,日本中央バス（前橋近郊路線、空港バス、高速バス）,日本中央バス 広瀬線・総社線・西大室線・高崎駅～大胡駅線・富士見線・川曲線・榛東線・吉岡線・シャトルバス・高速バス,https://www.ncbbus.co.jp,1,群馬県オープンデータサイトにリンク掲載あり,10,群馬県,日本中央バス　オープンデータサイト,日本中央バス株式会社,20181109,1,https://www.ncbbus.co.jp/route/GTFS.htm,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,,20210322,20210401,20220331,1,2021/4/1改正,r0008,日本中央バス,日本中央バス　オープンデータサイト,https://www.ncbbus.co.jp/route/GTFS.htm,1
a10006,群馬中央バス,,f1000602,群馬中央バス,群馬中央バス GTFS-JP,http://gunmachuobus.co.jp/,1,・群馬県オープンデータサイトにリンク掲載あり;・高崎市内循環バスぐるりん（群馬中央バス担当路線）を含む,10,群馬県,オープンデータサイト（ＧＴＦＳ－ＪＰ）（群馬中央バス）,群馬中央バス株式会社,20191220,1,http://gunmachuobus.co.jp/publics/index/53/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,,20201222,20201222,20211221,1,2020/12/22～,r0009,群馬中央バス,オープンデータサイト（ＧＴＦＳ－ＪＰ）（群馬中央バス）,http://gunmachuobus.co.jp/publics/index/53/,1
a16001,富山市,16201,f1600101,富山市　まいどはやバス,【富山市】まいどはやバスGTFS-JP,https://www.mdtoyama.com/,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,富山市オープンデータ,富山県富山市,20190110,1,https://opdt.city.toyama.lg.jp/dataset/toyamacity-bus-gtfs-jp,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210305,20210401,20220331,1,2021/4/1改正,r0012,まいどはやバス,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16001,富山市,16201,f1600102,富山市　呉羽いきいきバス,【富山市】呉羽いきいきバスGTFS-JP,https://www.shokoren-toyama.or.jp/~kureha/bus/,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,富山市オープンデータ,富山県富山市,20190110,1,https://opdt.city.toyama.lg.jp/dataset/toyamacity-bus-gtfs-jp,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210326,20210401,20220331,1,2021/4/1改正,r0013,呉羽いきいきバス,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16001,富山市,16201,f1600103,富山市　水橋ふれあいコミュニティバス,【富山市】水橋ふれあいコミュニティバスGTFS-JP,https://www.city.toyama.toyama.jp/katsuryokutoshisouzoubu/kotsuseisakuka/komyunitibasugoannai.html,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,富山市オープンデータ,富山県富山市,20190110,1,https://opdt.city.toyama.lg.jp/dataset/toyamacity-bus-gtfs-jp,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210326,20210401,20220331,1,2021/4/1改正,r0014,水橋ふれあいコミュニティバス,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16001,富山市,16201,f1600104,富山市　婦中コミュニティバス,【富山市】婦中コミュニティバスGTFS-JP,https://www.city.toyama.toyama.jp/katsuryokutoshisouzoubu/kotsuseisakuka/komyunitibasugoannai.html,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,富山市オープンデータ,婦中コミュニティバス運営委員会,20190110,1,https://opdt.city.toyama.lg.jp/dataset/toyamacity-bus-gtfs-jp,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210326,20210401,20220331,1,2021/4/1改正,r0015,婦中コミュニティバス,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16001,富山市,16201,f1600105,富山市　八尾コミュニティバス,【富山市】八尾コミュニティバスGTFS-JP,https://www.city.toyama.toyama.jp/katsuryokutoshisouzoubu/kotsuseisakuka/komyunitibasugoannai.html,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,富山市オープンデータ,富山県富山市,20190110,1,https://opdt.city.toyama.lg.jp/dataset/toyamacity-bus-gtfs-jp,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210326,20210401,20220331,1,2021/4/1改正,r0016,八尾コミュニティバス,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16001,富山市,16201,f1600106,富山市　大山コミュニティバス,【富山市】大山コミュニティバスGTFS-JP,https://www.city.toyama.toyama.jp/katsuryokutoshisouzoubu/kotsuseisakuka/komyunitibasugoannai.html,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,富山市オープンデータ,富山県富山市,20190110,1,https://opdt.city.toyama.lg.jp/dataset/toyamacity-bus-gtfs-jp,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210330,20210401,20220331,1,2021/4/1改正,r0017,大山コミュニティバス,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16001,富山市,16201,f1600107,富山市　山田コミュニティバス,【富山市】山田コミュニティバスGTFS-JP,https://www.city.toyama.toyama.jp/katsuryokutoshisouzoubu/kotsuseisakuka/komyunitibasugoannai.html,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,富山市オープンデータ,富山県富山市,20190110,1,https://opdt.city.toyama.lg.jp/dataset/toyamacity-bus-gtfs-jp,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210326,20210401,20220331,1,2021/4/1改正,r0018,山田コミュニティバス,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16001,富山市,16201,f1600109,富山市　堀川南地域コミュニティバス,【富山市】堀川南地域コミュニティバスGTFS-JP,http://www.city.toyama.toyama.jp/katsuryokutoshisouzoubu/kotsuseisakuka/horikawaminamichiikibasu.html,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,富山市オープンデータ,富山市,20190704,1,https://opdt.city.toyama.lg.jp/dataset/toyamacity-bus-gtfs-jp,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210326,20210401,20220331,1,2021/4/1改正,r0019,堀川南地域コミュニティバス,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16002,高岡市,16202,f1600201,高岡市　高岡市公営バス（福岡地域）,高岡市公営バスGTFS-JPデータ,https://www.city.takaoka.toyama.jp/f-chiki/kurashi/kotsu/kokyo/koebus.html,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,高岡市オープンデータカタログページ,高岡市,20181227,1,https://www.city.takaoka.toyama.jp/joho/shise/opendata/kotsu.html,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210311,20210401,20220331,1,2021/4/1改正,r0020,高岡市公営バス,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16003,富山県射水市,16211,f1600301,射水市　きときとバス,【射水市】きときとバス GTFS-JP,https://www.city.imizu.toyama.jp/combus/index.html,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,射水市オープンデータサイト,富山県射水市,20190225,1,https://www.city.imizu.toyama.jp/guide/svGuideDtl.aspx?servno=25068,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210325,20210401,20220331,1,,r0021,きときとバス,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16004,魚津市,16204,f1600401,魚津市　予約式あいのりタクシー おもてなし魚津直行便,おもてなし魚津直行便　GTFS-JP,https://www.uozu-kanko.jp/?p=9658&dispyear=2018#m9,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,魚津市オープンデータ,魚津タクシー協会,20190122,1,https://www.city.uozu.toyama.jp/guide/svGuideDtl.aspx?servno=14385,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210322,20210313,20220312,1,2021/3/13～,r0022,おもてなし魚津直行便,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16004,魚津市,16204,f1600402,魚津市　魚津市民バス,魚津市民バス GTFS-JP,https://www.city.uozu.toyama.jp/guide/svGuideDtl.aspx?servno=3615&cdkb=ctg&cd=1902&topkb=G,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,魚津市オープンデータ,魚津市産民生部環境安全課,20190122,1,https://www.city.uozu.toyama.jp/guide/svGuideDtl.aspx?servno=14385,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210322,20210401,20220331,1,2021/4/1改正,r0023,魚津市民バス,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16005,滑川市,16206,f1600601,滑川市　のる my car,【滑川市】のる my car GTFS-JP,https://www.city.namerikawa.toyama.jp/kurashi/5/7/8/index.html,1,・富山県オープンデータポータルサイトにリンク掲載あり;・毎年6月更新予定,16,富山県,滑川市オープンデータ,滑川市,20190110,1,https://www.city.namerikawa.toyama.jp/soshiki/4/opendata/bus.html,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20200521,20200601,20210531,1,2020/6/1改正,r0024,のる my car,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16006,黒部市,16207,f1600701,黒部市　市内路線バス（石田三日市線・愛本コミュニティタクシー）,【黒部市】黒部市内路線バス（石田・愛本）GTFS-JP,http://www.kurobe-koukyoukoutsuu.jp/,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,黒部市オープンデータ,黒部市,20190320,1,https://www.city.kurobe.toyama.jp/category/page.aspx?servno=10951,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210401,20210330,20240329,1,2020/4/1改正,r0025,黒部市内路線バス（石田・愛本）,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16006,黒部市,16207,f1600702,黒部市　市内路線バス（新幹線生地線）,【黒部市】黒部市内路線バス（新幹線生地）GTFS-JP,http://www.kurobe-koukyoukoutsuu.jp/,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,黒部市オープンデータ,黒部市,20190320,1,https://www.city.kurobe.toyama.jp/category/page.aspx?servno=10951,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210401,20210401,20220331,1,2021/4/1改正,r0026,黒部市内路線バス（新幹線生地）,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16007,砺波市,16208,f1600801,砺波市　砺波市営バス,【砺波市】砺波市営バスGTFS-JP,https://www.city.tonami.toyama.jp/info/1509418082.html,1,,16,富山県,富山県オープンデータポータルサイト,砺波市,20190110,1,http://opendata.pref.toyama.jp/dataset/city_tonami_gtfs,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210422,20210420,20220419,1,2021/4/1改正,r0027,砺波市営バス,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16008,小矢部市,16209,f1600901,小矢部市　小矢部市営バス（メルバス・乗合タクシー）,小矢部市営バスGTFS-JPデータ,http://www.city.oyabe.toyama.jp/kurashi/dourokoutsu/bus/1458354859094.html,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,小矢部市オープンデータ,小矢部市,20190311,1,http://www.city.oyabe.toyama.jp/soshiki/soumubu/soumuka/opendata/1551664952101.html,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20200226,20200201,20210331,1,,r0028,小矢部市営バス,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16009,富山県南砺市,16210,f1601001,南砺市　なんバス（南砺市営バス）,公共交通 南砺市営バス（なんバス）GTFSデータセット,https://www.city.nanto.toyama.jp/cms-sypher/www/info/detail.jsp?id=736,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,南砺市の統計情報・オープンデータ,南砺市地方創生推進課,20180530,1,https://www.city.nanto.toyama.jp/cms-sypher/www/secfolder/johoseisaku/tokei_top.htm,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210422,20210401,20220331,1,2021/4/1改正,r0029,南砺市営バス（なんバス）,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
